
919329-Dep. Marquinho Viana-06- 2017- Locomoção, hospedagem- 16000
919329-Dep. Marquinho Viana-07- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1140
919329-Dep. Marquinho Viana-07- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-07- 2017- Divulgação da  atividade parlamentar- 30600
919329-Dep. Marquinho Viana-07- 2017- Locomoção, hospedagem- 210
919329-Dep. Marquinho Viana-08- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1290.14
919329-Dep. Marquinho Viana-08- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-08- 2017- Divulgação da  atividade parlamentar- 1100
919329-Dep. Marquinho Viana-09- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1280.93
919329-Dep. Marquinho Viana-09- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-09- 2017- Divulgação da  atividade parlamentar- 850
919329-Dep. Marquinho Viana-09- 2017- Locomoção, hospedagem- 115
919329-Dep. Marquinho Viana-10- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1288.92
919329-Dep. Marquinho Viana-10- 2017- Consultorias, assessorias, pesquisas  e trabalhos técnicos- 20000
919329-Dep. Marquinho Viana-10- 2017- Divulgação da  atividade parlamentar- 850
919329-Dep. Marquinho Viana-11- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 286.56
919329-Dep. Marquinho Viana-11- 2017- Assessorias- 9700
919329-Dep. Marquinho Viana-11- 2017- Divulgação da  atividade parlamentar- 1850
919329-Dep. Marquinho Viana-11- 2017- Locomoção de veículo terrestre- 40000
919329-Dep. Marquinho Viana-12- 2017- Aquisição ou locação de software; serviços postais  e de segurança; assinaturas de publicações; TV a cabo ou similar; acesso à Internet; e locação de móveis e equipamentos. Telefones.- 1380.61
919329-Dep. Marquinho Viana-12- 2017- Assessorias- 9700
919329-Dep. Marquinho Viana-12- 2017- Divulgação da  atividade parlamentar- 30850
919329-Dep. Marquinho Viana-12- 2017- Locomoção de veículo terrestre- 8000
